Unnamed: 0_level_0,Positive network strength,Positive network strength,Positive network strength,Negative network strength,Negative network strength,Negative network strength,Combined network strength,Combined network strength,Combined network strength
Unnamed: 0_level_1,r,R2,MAE,r,R2,MAE,r,R2,MAE
Original,0.239???,0.057,0.453,0.282???,0.079,0.447,0.290???,0.084,0.444
Adjusted,0.251???,0.063,0.452,0.178???,0.032,0.475,0.225???,0.051,0.463
