Brain region,"Peak MNI coordinates (x, y, z)","Peak MNI coordinates (x, y, z)","Peak MNI coordinates (x, y, z)",Voxels size,Peak intensity
Cuneus_L,-6,− 72,27,17,4.3309
Cuneus_R,15,−84,39,16,3.9559
Calcarine_L,−24,−60,9,18,−4.1568
Lingual_R,15,−51,3,16,−3.9999
