Regions,p(FWE‐corr),p(FDR‐corr),Cluster size,T,Z,"x,y,z"
Caudate,0.245,0.044,37.0,5.33,4.03,[−12 8 16]
,,,,4.8,3.77,[−10 6 6]
,0.048,0.028,56.0,5.03,3.88,[4 8 0]
,,,,4.19,3.43,[8 18 2]
