Regions,p(FWE‐corr),p(FDR‐corr),Cluster size,T,Z,"x,y,z"
Caudate,0.009,0.022,959.0,6.58,4.64,[12 −3 18]
Thalamus,,,,4.93,3.87,[6 −10 15]
