Seed regions,AAL brain regions,MNI coordinates,MNI coordinates.1,MNI coordinates.2,Size (voxel),Maximum t-value
,,,,,,
,,x,y,z,,
Rolandic_Oper_L (HCs > PDM),Postcentral_L,−63,−6,12,65.0,4.4028
,Postcentral_R,54,6,45,114.0,4.669
Hippocampus_R (HCs < PDM),Precentral_L,−21,−18,66,70.0,4.5955
N_Acc_R (HCs < PDM),Frontal_Sup_Orb_L,−18,30,−21,64.0,4.8912
,Precentral_R,51,−9,51,77.0,4.5543
Temporal_Pole_Sup_R (HCs < PDM),Precentral_L,−9,−21,75,238.0,4.6257
Frontal_Mid_L (HCs < PDM),Frontal_Sup_R,6,60,6,209.0,4.6015
