Seed,Contrast,Cluster size,Cluster size.1,Brain regions,Z-value,MNI coordinates (mm),MNI coordinates (mm).1,MNI coordinates (mm).2
PCC,MQ,positive,681,L anterior insula/putamen/operculum,3.98,−28,22,−4
PCC,MQ,positive,478,R anterior insula/putamen/operculum,3.65,30,26,6
PCC,MQ,negative,628,R middle & superior temporal gyrus/fusiform gyrus,4.28,60,0,−20
PCC,MQ,negative,926,Bilateral posterior rostral medial prefrontal gyrus,4.14,0,62,28
PCC,MQ,negative,868,R orbital prefrontal gyrus,4.00,12,62,−12
PCC,MQ,negative,1237,Bilateral precuneus,3.79,4,−52,14
PCC,MQ,negative,1237,L posterior cingulate gyrus,3.60,−4,−38,36
PCC,Visual reproduction,positive,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
PCC,Visual reproduction,negative,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
mPFC,MQ,positive,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
mPFC,MQ,negative,556,R angular gyrus,3.78,38,−68,38
mPFC,Visual reproduction,positive,1746,L inferior & medial frontal gyrus,3.69,−54,10,12
mPFC,Visual reproduction,positive,1746,L anterior insula,3.08,−28,24,−2
mPFC,Visual reproduction,positive,831,R medial & inferior frontal gyrus,3.72,50,30,26
mPFC,Visual reproduction,positive,831,R anterior insula,3.34,36,22,2
mPFC,Visual reproduction,positive,501,L supramarginal gyrus/parietal operculum,3.10,−60,−48,18
mPFC,Visual reproduction,negative,519,R angular gyrus,3.37,48,−58,32
mPFC,Visual reproduction,negative,421,R orbital prefrontal gyrus,3.80,12,62,−2
mPFC,Visual reproduction,negative,809,Bilateral precuneus/posterior cingulate gyrus,3.54,12,−50,24
