Dependent variable,Regressors,β,SE,t,p
Alerting RT↑,FNC in IC7–IC28↓,−0.522,0.03,−3.96,0.009
Orienting RT↑,–,–,–,–,–
Executive control RT↑,FC in mPFC/ACC↓,−0.682,0.118,−2.85,0.019
,FNC in IC14–IC20↓,−0.792,0.142,−2.74,0.027
