Demographic variable,SCH (n = 86)(Mean ±SD),HC (n = 102)(Mean ±SD),t/χ2,P
Age (years),21.87 ± 8.36,21.39 ± 6.95,0.45,0.656
Sex (male/female),44/42,57/45,0.42,0.518
Education (years),10.68 ± 2.71,11.04 ± 2.90,0.92,0.357
Mean FD (mm),0.060 ± 0.044,0.068 ± 0.035,1.44,0.152
