Contrast,Seed (center of sphere),Target (peak coordinates),Cluster size (# voxels),Cluster p-FWE
Controls > IP,"Left thalamus (−7, −15,2)","Left Somatosensory (−4, −27, 34)",1873,<0.000001
,,"Right Somatosensory (6, −25, 42)",973,0.00006
,"Right thalamus (8, −18, 5)","Right Somatosensory (5, −26, 37)",2373,<0.000001
,,"Left Somatosensory (−11, −26, 42)",665,0.00008
,"Right insula (26, −2, 4)","Right amygdala/hippocampus (14, −10, 15)",871,0.00007
IP > Controls,"Right thalamus (8, −18, 5)","Right superior temporal gyrus (40, −19, 3)",672,0.00027
