Unnamed: 0,"Atlas, mean ± std","Atlas, mean ± std.1","Atlas, mean ± std.2","Atlas, mean ± std.3"
Classification,AAL,HO,CC,POWER
Classification,(m = 4005),(m = 5995),(m = 16836),(m = 26335)
AUC (%),72 ± 3,75 ± 5,70 ± 10,64 ± 6
