Seed Area,Target Brain Region(s),x y z (mm),k,T,Cluster p-FWE
Left Retrosplenial Cortex,Left Superior Frontal Gyrus,−16 12 48,738,5.91,0.0
,Right Middle Frontal Gyrus,28 6 56,390,5.78,4.7e-05
Right Entorhinal Cortex,Right Superior Frontal Gyrus,18 24 56,228,5.25,0.001829
