Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Uncorrected,Unnamed: 5_level_0
FC,CD (n = 30),HC (n = 33),t,p-value,qFDR
Unnamed: 0_level_2,Mean ± SD,Mean ± SD,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2
vmPFC-dmPFC,0.78 ± 0.28,0.83 ± 0.29,-0.729,0.469,0.395
vmPFC-rTPJ,0.43 ± 0.27,0.61 ± 0.21,-3.012,0.004,0.017
vmPFC-lTPJ,0.33 ± 0.31,0.44 ± 0.30,-1.495,0.14,0.242
vmPFC-lSTS,0.33 ± 0.26,0.41 ± 0.32,-1.102,0.275,0.339
vmPFC-rSTS,0.31 ± 0.28,0.31 ± 0.31,-0.002,0.999,0.575
dmPFC-rTPJ,0.50 ± 0.29,0.68 ± 0.20,-2.977,0.004,0.017
dmPFC-lTPJ,0.48 ± 0.31,0.45 ± 0.35,0.441,0.661,0.475
dmPFC-lSTS,0.35 ± 0.30,0.41 ± 0.29,-0.807,0.423,0.395
dmPFC-rSTS,0.44 ± 0.31,0.35 ± 0.35,1.015,0.314,0.339
rTPJ-lTPJ,0.39 ± 0.27,0.40 ± 0.30,-0.194,0.847,0.556
rTPJ-lSTS,0.33 ± 0.27,0.32 ± 0.21,0.124,0.902,0.556
rTPJ-rSTS,0.39 ± 0.35,0.31 ± 0.31,1.041,0.302,0.339
lTPJ-lSTS,0.62 ± 0.32,0.57 ± 0.32,0.673,0.504,0.395
lTPJ-rSTS,0.70 ± 0.27,0.56 ± 0.33,1.78,0.08,0.173
lSTS-rSTS,0.65 ± 0.30,0.52 ± 0.29,1.806,0.076,0.173
,,,,,
