Connectivity-behavioral correlation,"MNI (x,y,z)",r,p
PCC seed,,,
HAN-Lingual gyrus *,"(−18, −70, 2)",−0.411,0.03
rLPC seed,,,
HAP−Cuneus **,"(8, −76, 22)",−0.5085,0.006
HAP−Lingual gyrus**,"(−14, −64, −6)",−0.497,0.007
