Reference Mean,Equation
Euclidean,Ce=1N∑iCi
Harmonic,Ch=(1N∑iCi−1)−1
Log Euclidean,Cle=expm(1N∑ilogmCi)
Riemannian Mean,Cr=argmin(∑iδR(CeCi)2)
Kullback,Ck=Ce1/2(Ce−1/2ChCe−1/2)αCe1/2
