Term,Symbol
Empirical covariance,Σˇ
Full correlation,Σ˘
Precision matrix,Ωˆ
Tikhonov precision matrix,Ω‾
Oracle approximate shrinkage precision matrix,Ω˙
Partial correlation,ρ
Any of above functional connectivity matrix,C
Any of above functional connectivity matrix in tangent space,C→
