Unnamed: 0,Anatomical structure,Peak voxel,Cluster size (vx),p
rlTVA,L superior occipital gyrus,− 27 − 81 + 33,42,9e-06
rlTVA,R inferior parietal gyrus,+ 36 − 45 + 42,14,0.000939
rlTVA,R superior temporal gyrus,+ 54 − 36 + 15,9,0.01907
rlTVA,R frontal inferior orbital gyrus,+ 51 + 39 − 09,23,1.9e-05
