Unnamed: 0,List of features,Unnamed: 2,Validation methods,acc,sens,spec,acc.1,sens.1,spec.1,acc.2,sens.2,spec.2,acc.3,sens.3,spec.3
EGN + WCoh + sFC,ip_OVIS-SN_s2,sFC-DMN-VAN,tRS1_vRS2,0.792,0.500,1.000,0.750,0.600,0.857,0.833,0.800,0.857,0.833,1.000,0.714
EGN + WCoh + sFC,ip_CB-SN_s2,sFC-MVISU-DMN,tRS2_vRS1,0.792,0.600,0.929,0.792,0.900,0.714,0.792,0.800,0.786,0.667,0.500,0.786
EGN + WCoh + sFC,ip_MVISU-DMN_s2,In-EP_DMN,Loocv_RS1,0.833,0.700,0.929,0.833,0.700,0.929,0.833,0.900,0.786,0.750,0.600,0.857
EGN + WCoh + sFC,,,Loocv_RS2,0.708,0.300,1.000,0.708,0.600,0.786,0.667,0.600,0.714,1.000,1.000,1.000
EGN + WCoh + sFC,,,Loocv_conca_RS,0.792,0.600,0.929,0.792,0.700,0.857,0.750,0.650,0.821,0.750,0.700,0.786
EGN + WCoh + sFC,,,Average,0.783,0.540,0.957,0.775,0.700,0.829,0.775,0.750,0.793,0.800,0.760,0.829
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
EGN + WCoh + GC + sFC,82 features =,All best features,tRS1_vRS2,0.917,0.800,1.000,0.792,0.600,0.929,0.750,0.800,0.714,0.750,0.400,1.000
EGN + WCoh + GC + sFC,,without,tRS2_vRS1,0.917,0.800,1.000,0.833,0.800,0.857,0.833,0.700,0.929,0.667,0.500,0.786
EGN + WCoh + GC + sFC,,Out-EP_DMN,Loocv_RS1,0.750,0.700,0.786,0.750,0.700,0.786,0.750,0.700,0.786,0.458,0.300,0.571
EGN + WCoh + GC + sFC,,Out-EP_OVIS,Loocv_RS2,0.792,0.700,0.857,0.958,0.900,1.000,0.917,0.800,1.000,0.958,1.000,0.929
EGN + WCoh + GC + sFC,,Net-EP_DMN,Loocv_conca_RS,0.938,0.850,1.000,0.833,0.750,0.893,0.792,0.700,0.857,0.542,0.450,0.607
EGN + WCoh + GC + sFC,,Net-EP_CING,Average,0.863,0.770,0.929,0.833,0.750,0.893,0.808,0.740,0.857,0.675,0.530,0.779
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
EGN + WCoh + GC + sFC,,,tRS1_vRS2,0.750,0.600,0.857,0.792,0.600,0.929,0.750,0.700,0.786,0.750,0.400,1.000
EGN + WCoh + GC + sFC,,,tRS2_vRS1,0.667,0.800,0.571,0.875,0.800,0.929,0.750,0.700,0.786,0.667,0.500,0.786
EGN + WCoh + GC + sFC,All best 86 features,,Loocv_RS1,0.833,0.700,0.929,0.833,0.700,0.929,0.583,0.400,0.714,0.458,0.300,0.571
EGN + WCoh + GC + sFC,,,Loocv_RS2,0.875,0.800,0.929,0.917,0.800,1.000,0.583,0.400,0.714,0.917,0.900,0.929
EGN + WCoh + GC + sFC,,,Loocv_conca_RS,0.917,0.800,1.000,0.833,0.750,0.893,0.688,0.500,0.821,0.542,0.450,0.607
EGN + WCoh + GC + sFC,,,Average,0.808,0.740,0.857,0.850,0.730,0.936,0.671,0.540,0.764,0.667,0.510,0.779
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
EGN + WCoh + GC + sFC,ip_MVISU-DMN_s2,sFC-DMN-VAN,tRS1_vRS2,0.917,0.800,1.000,0.917,0.800,1.000,0.708,0.500,0.857,0.708,0.600,0.786
EGN + WCoh + GC + sFC,ip_MVISU-DMN_s4,sFC-MVISU-DMN,tRS2_vRS1,0.917,0.800,1.000,0.583,0.500,0.643,0.708,0.600,0.786,0.667,0.600,0.714
EGN + WCoh + GC + sFC,GC_NetDeg_DAN,sFC-DMN-LSM,Loocv_RS1,0.833,0.700,0.929,0.833,0.700,0.929,0.500,0.300,0.643,0.708,0.600,0.786
EGN + WCoh + GC + sFC,GC_NetDeg_AUDI,sFC-DMN-CB,Loocv_RS2,0.875,0.800,0.929,0.708,0.500,0.857,0.875,0.800,0.929,0.792,0.800,0.786
EGN + WCoh + GC + sFC,GC_NetDeg_LSM,sFC-DAN-SN,Loocv_conca_RS,0.958,0.900,1.000,0.875,0.850,0.893,0.729,0.550,0.857,0.792,0.800,0.786
EGN + WCoh + GC + sFC,,sFC-OVISU-SN,Average,0.900,0.800,0.971,0.783,0.670,0.864,0.704,0.550,0.814,0.733,0.680,0.771
EGN + WCoh + GC + sFC,In-EP_DMN,In-EP_SSM,,,,,,,,,,,,,
EGN + WCoh + GC + sFC,In-EP_DAN,In-EP_CING,,,,,,,,,,,,,
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
EGN + WCoh + sFC,ip_CB-SN_s2,sFC-DMN-VAN,tRS1_vRS2,0.875,0.700,1.000,0.917,0.800,1.000,0.875,0.700,1.000,0.833,1.000,0.714
EGN + WCoh + sFC,ip_MVISU-DMN_s2,sFC-MVISU-DMN,tRS2_vRS1,0.917,0.800,1.000,0.792,0.800,0.786,0.792,0.600,0.929,0.792,0.600,0.929
EGN + WCoh + sFC,,sFC-DMN-LSM,Loocv_RS1,0.750,0.500,0.929,0.750,0.500,0.929,0.625,0.700,0.571,0.792,0.700,0.857
EGN + WCoh + sFC,In_EP_DMN,sFC-DMN-CB,Loocv_RS2,0.875,0.800,0.929,0.708,0.500,0.857,0.792,0.700,0.857,0.667,0.500,0.786
EGN + WCoh + sFC,In-EP_DAN,sFC-DAN-SN,Loocv_conca_RS,0.917,0.800,1.000,0.875,0.850,0.893,0.854,0.750,0.929,0.813,0.700,0.893
EGN + WCoh + sFC,,sFC-OVISU-SN,Average,0.867,0.720,0.971,0.808,0.690,0.893,0.788,0.690,0.857,0.779,0.700,0.836
,,,overall average =,,,,,,,,,,,,
,,,0.810,,,,,,,,,,,,
