Unnamed: 0_level_0,Networks,Networks,Networks,Networks,Networks,Networks,Networks,Networks,Networks
Unnamed: 0_level_1,WM,CogAC,VigAtt,ToM,SM,eSAD,Motor + PS,Motor + SS,Connectome
r¯oldlow (n = 24),.33???,.34???,.25???,.37???,.41???,.42???,.28???,.45???,.35???
r¯oldhigh (n = 21),.08,.12,.23,.33???,.21,.18,−.02,.31???,.26v
Cohen’s q,.26,.23,.02,.05,.22,.27,.31,.16,.10
