Demographics (Mean ± SD),Controls (n = 163),ASD (n = 85),P-value
Age (years),17.4 ± 8.0,18.0 ± 10.2,0.84
Sex (% male),81,89,
IQ,115.8 ± 9.0,117 ± 11.3,0.76
Motion (mm),0.064 ± 0.02,0.065 ± 0.02,0.7
ADOS-G (score),,10.1 ± 5.4,
