Variable,N = 22
Age (years),27.1±4.0
Education (years),17.9±2.7
Height (cm),182±6
Weight (kg),78.3±6.8
BMI (kg/m2),23.7±1.4
Resting HR (bpm),75.9±15.1
HRmax (bpm),194.2±7.2
peak running speed (km/h),16.1±1.3
