Network,FPN,FPN,DMN,DMN,FPN-DMN,FPN-DMN
Predictor,Beta (standard error),p,Beta (standard error),p,Beta (standard error),p
Similarity rest-task (Pearson correlation),−48.31 (14.29),<.05,−12.24 (16.36),.52,−41.10 (17.47),.067
Frontal tumor involvement,−8.41 (4.00),<.05,−11.78 (4.42),<.05,−12.25 (4.12),<.05
Tumor group,Tumor group,Tumor group,Tumor group,Tumor group,Tumor group,Tumor group
LGG (vs meningioma),1.30 (4.06),.89,.70 (4.69),.89,−1.18 (4.40),.89
HGG (vs meningioma),−13.35 (4.57),<.01,−17.59 (5.04),<.01,−16.63 (4.70),<.01
Tumor hemisphere,8.36 (3.47),.061,,,9.79 (3.93),.061
