Model,ACC (%),TPR (%),TNR (%),PPV (%),NPV (%),F1 (%)
CC,74 ± 0.04,72 ± 0.23,76 ± 0.01,74 ± 0.05,74 ± 0.08,73 ± 0.07
CLo–D(1),75 ± 0.12,73 ± 0.14,76 ± 0.29,74 ± 0.23,75 ± 0.08,74 ± 0.12
CLo–D(4),79 ± 0.15,79 ± 0.10,79 ± 0.53,79 ± 0.38,79 ± 0.07,79 ± 0.12
CHo–D(2),78 ± 0.06,79 ± 0.49,77 ± 0.24,76 ± 0.09,80 ± 0.25,77 ± 0.11
HiO,72 ± 0.16,71 ± 0.21,73 ± 0.32,72 ± 0.18,73 ± 0.28,72 ± 0.16
CC + CLo–D(4),80 ± 0.20,78 ± 0.25,82 ± 0.39,80 ± 0.38,79 ± 0.17,79 ± 0.20
CC + CHo–D(2),78 ± 0.11,79 ± 0.20,77 ± 0.26,77 ± 0.17,79 ± 0.12,77 ± 0.11
CLo–D(4) + CHo–D(2),81 ± 0.06,82 ± 0.31,80 ± 0.11,80 ± 0.06,83 ± 0.17,81 ± 0.08
CC + CLo–D(4) + CHo–D(2),83 ± 0.16,82 ± 0.10,84 ± 0.46,83 ± 0.34,83 ± 0.08,82 ± 0.13
