Network names,Components (correlation)
DMN,23 (0.54)
Left FPN,33 (0.39)
Right FPN,38 (0.5)
SMN,18 (0.55)
Dorsal AN,24 (0.61)
Ventral AN,17 (0.51)
VN1,4 (0.70)
VN2,2 (0.6)
AudN,10 (0.7)
