Clinical index,Seed,Connected cortical region,Pearson coefficient,p value
Sleep efficiency from PSG,Right thalamus,Frontal_Sup_Medial_R,−0.28,0.049
Sleep efficiency from PSG,,Temporal_Pole_Mid_L,−0.284,0.045
Sleep efficiency from PSG,,ParaHippocampal_R,−0.295,0.04
Sleep efficiency from PSG,,Temporal_Mid_R,−0.219,0.1
Sleep efficiency from PSG,,Rectus_L,−0.181,0.2
Sleep efficiency from PSG,Left thalamus,Parietal_Sup_L,0.036,0.8
Sleep efficiency from PSG,,Temporal_Pole_Mid_R,−0.364,0.009
Sleep efficiency from PSG,,Rectus_L,−0.113,0.4
Sleep efficiency from PSG,,Temporal_Pole_Mid_L,−0.229,0.035
