Seed,Connected cortical region,"MNI coordinates (x, y, z)","MNI coordinates (x, y, z).1","MNI coordinates (x, y, z).2",Cluster size,z-score
Right thalamus,Frontal_Sup_Medial_R,8,58,12,155,3.98
,Temporal_Pole_Mid_L,−54,12,−34,145,3.91
,ParaHippocampal_R,30,−32,−16,156,3.91
,Temporal_Mid_R,66,−4,−20,287,3.83
,Rectus_L,−2,48,−16,154,3.77
Left thalamus,Parietal_Sup_L,−18,−60,52,344,4.38
,Temporal_Pole_Mid_R,48,16,−32,337,4.27
,Rectus_L,−4,48,−16,159,3.97
,Temporal_Pole_Mid_L,−44,12,−34,189,3.93
