Response,"Predictors [Estimate β, p-value, Cohen’s d if significant]","Predictors [Estimate β, p-value, Cohen’s d if significant]","Predictors [Estimate β, p-value, Cohen’s d if significant]",Random effects
Response,Time,Time × tumor grade,Time × tumor lateralization,σ2
Within default -mode network,"[0.003, 0.54]","[0.00002, 0.01, 0.001]*","[0.006, 0.001, 0.28]*",0.01
Within fronto-parietal network,"[0.006, 0.28]","[ – 0.01, 0.63]","[ – 0.003, 0.11]",0.01
Within hubs,"[0.002, 0.68]","[ – 0.003, – 0.15]","[0.005, 0.0004, 0.29]*",0.01
Within no-hubs,"[ – 0.0006, 0.44]","[0.0010, 0.71]","[ – 0.001, 0.004, – 0.30]*",0.0004
Between hubs-no-hubs,"[0.0004, 0.75]","[ – 0.001, 0.65]","[0.0023, 0.005, 0.40]*",0.0001
