Unnamed: 0_level_0,Unnamed: 1_level_0,Left Hemisphere,Left Hemisphere,Left Hemisphere,Left Hemisphere,Right Hemisphere,Right Hemisphere,Right Hemisphere,Right Hemisphere
Unnamed: 0_level_1,Unnamed: 1_level_1,Scale 1,Scale 2,Scale 3,Scale 4,Scale 1,Scale 2,Scale 3,Scale 4
Ventral System,Ventral System,Ventral System,Ventral System,Ventral System,Ventral System,Ventral System,Ventral System,Ventral System,Ventral System
Combination 1,CP 1,,3982,1144,,,3997,3834,
Combination 2,CP 1,,2325,,,,,,
,CP 2,12384,6098,,,1331,1057,,
Combination 3,CP 6,,1924,4034,,,2424,1799,
Combination 4,CP 4,15993,,,,46988,,,
Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System,Dorsal System
Combination 1,CP 4,30225,31464,,2667,1173,15832,,
Combination 2,CP 3,1665,2530,,,1037,2989,,
,CP 2,,,,,,,3424,
,CP 4,8706,,,,,9304,,
Combination 3,CP 5,4665,1746,,,,1552,,
,CP 4,59793,40520,18741,,3595,29119,8955,
Combination 4,CP 4,95183,35675,81227,1568,9276,29171,40993,
