CP 1,CP 2,CP 3,CP 4,CP 5,CP 6
\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}2\\ | & & |\\ {\boldsymbol{R}}4 & - & {\boldsymbol{R}}3\end{array}$$\end{document}R1−R2||R4−R3,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}2\\ | & & |\\ {\boldsymbol{R}}3 & - & {\boldsymbol{R}}4\end{array}$$\end{document}R1−R2||R3−R4,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}3\\ | & & |\\ {\boldsymbol{R}}2 & - & {\boldsymbol{R}}4\end{array}$$\end{document}R1−R3||R2−R4,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}4\\ | & & |\\ {\boldsymbol{R}}2 & - & {\boldsymbol{R}}3\end{array}$$\end{document}R1−R4||R2−R3,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}3\\ | & & |\\ {\boldsymbol{R}}4 & - & {\boldsymbol{R}}2\end{array}$$\end{document}R1−R3||R4−R2,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\begin{array}{ccc}{\boldsymbol{R}}1 & - & {\boldsymbol{R}}4\\ | & & |\\ {\boldsymbol{R}}3 & - & {\boldsymbol{R}}2\end{array}$$\end{document}R1−R4||R3−R2
R1-R2-R3-R4,R1-R2-R4-R3,R1-R3-R4-R2,R1-R4-R3-R2,R1-R3-R2-R4,R1-R4-R2-R3
R2-R3-R4-R1,R2-R4-R3-R1,R3-R4-R2-R1,R2-R1-R4-R3,R2-R4-R1-R3,R2-R3-R1-R4
R3-R4-R1-R2,R3-R1-R2-R4,R4-R2-R1-R3,R3-R2-R1-R4,R3-R2-R4-R1,R3-R1-R4-R2
R4-R1-R2-R3,R4-R3-R1-R2,R2-R1-R3-R4,R4-R3-R2-R1,R4-R1-R3-R2,R4-R2-R3-R1
