Regions,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,F-value,Left (n = 13),Mixed (n = 13),Right (n = 24)
Unnamed: 0_level_1,X,Y,Z,Unnamed: 4_level_1,Unnamed: 5_level_1,Mean ± SD,Mean ± SD,Mean ± SD
MPFC,2,50,−26,15,6.2,0.19 ± 0.13,0.04 ± 0.12,0.13 ± 0.08
SFG,17,57,20,31,7.51,−0.34 ± 0.61,0.02 ± 0.19,0.04 ± 0.17
STG,59,−41,12,165,8.93,0.02 ± 0.26,0.18 ± 0.17,0.17 ± 0.13
