Model,Training dataset (n = 103),Training dataset (n = 103),Training dataset (n = 103),Training dataset (n = 103),Training dataset (n = 103),Training dataset (n = 103),Validation dataset (n = 26),Validation dataset (n = 26),Validation dataset (n = 26),Validation dataset (n = 26),Validation dataset (n = 26),Validation dataset (n = 26)
Model,Accuracy (%),Sensitivity (%),Specificity (%),PPV (%),NPV (%),AUC,Accuracy (%),Sensitivity (%),Specificity (%),PPV (%),NPV (%),AUC
RF,100.0,100.0,100.0,100.0,100.0,1.0,88.46,90.91,86.67,91.67,100.0,0.89
LR,90.29,88.1,91.8,88.1,91.8,0.94,92.31,90.91,93.33,90.91,93.33,0.89
SVM,87.38,90.48,85.25,80.85,92.86,0.92,88.46,90.91,86.67,83.33,92.86,0.85
