Effect,Region of interest (ROI),p‐values
PWV mediation of BOLDvar–age association,Significant BOLDvar–age association,4.9 × 10−4
Age mediation of BOLDvar–PWV association,Significant BOLDvar–PWV association,9.3 × 10−5
CBFvar mediation of BOLDvar–PWV association,Significant BOLDvar–PWV association,6.6 × 10−5
meanCBF mediation of BOLDvar–PWV association,Significant BOLDvar–PWV association,0.49
BOLDvar mediation of FC–PWV association,Overlap of significant BOLDvar–PWV association and significant FC–PWV association,2.8 × 10−4
