MRI confounds,median FD,median FD,Max FD,Max FD,% scrubbed,% scrubbed,BP sys.,BP sys.,BP dias.,BP dias.,MRI-QST dif.,MRI-QST dif.
MRI confounds,R2,p,R2,p,R2,p,R2,p,R2,p,Unnamed: 11_level_1,Unnamed: 12_level_1
Study 1,0.014,0.506,0.004,0.705,0.008,0.613,,,,,–,–
Study 2,0.026,0.339,0.03,0.304,0.021,0.388,0.034,0.289,0.026,0.352,0.099,0.058
Study 3,0.006,0.745,0.025,0.517,0.057,0.324,0.0,0.943,0.0,0.951,0.001,0.880
