Unnamed: 0_level_0,Hemi sphere,Los VS Nor,Los VS Nor,Los VS Nor,Los VS Nor,Los VS Nor,Ver VS Nor,Ver VS Nor,Ver VS Nor,Ver VS Nor,Ver VS Nor,Ver VS Los,Ver VS Los,Ver VS Los,Ver VS Los,Ver VS Los
Unnamed: 0_level_1,Unnamed: 1_level_1,Voxel,T value,MNI coordinate,MNI coordinate,MNI coordinate,Voxel,T value,MNI coordinate,MNI coordinate,MNI coordinate,Voxel,T value,MNI coordinate,MNI coordinate,MNI coordinate
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,X,Y,Z,Unnamed: 7_level_2,Unnamed: 8_level_2,X,Y,Z,Unnamed: 12_level_2,Unnamed: 13_level_2,X,Y,Z
Left ear,L,41,3.472,–48,–33,22,53,–2.538,–50,–15,16,50,–4.101,–53,–25,25
,R,71,–3.394,48,–18,–1,46,–3.846,58,–23,13,35,–2.363,57,–22,13
Right ear,L,35,–2.420,–56,–20,19,72,–2.522,–44,–18,–4,28,–2.387,–45,–31,13
,R,63,2.342,60,–5,4,61,–3.252,53,–25,19,46,–4.962,50,–25,16
