Graph measure,Correlation coefficient,Slope,p value
Clustering coefficient,−0.55,−20.3,0.019
Global efficiency,−0.57,−42.5,0.014
Modularity,−0.45,−18.18,0.058
Small‐worldness,0.33,9.93,0.173
