Graph measure,p value (tail = −1),p value (tail = 0),p value (tail = 1)
Clustering coefficient,0.656,0.688,0.344
Global efficiency,0.94,0.12,0.06
Modularity,0.199,0.378,0.801
Small‐worldness,0.528,0.944,0.472
