Unnamed: 0,Correlation coefficient,Slope,p value
Degree,Degree,Degree,Degree
All,−0.20,−0.86,.42
Negative,0.12,0.26,.77
Positive,−0.44,−2.74,.24
Betweenness centrality,Betweenness centrality,Betweenness centrality,Betweenness centrality
All,0.09,0.32,.69
Negative,−0.06,−0.17,.88
Positive,0.10,0.37,.74
