Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Bootstrap,Bootstrap
Unnamed: 0_level_1,β,R2,t,p,Bca 95% CI,p
"Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus","Right/Left cuneus, right precuneus"
After active,−0.821,0.674,−4.767,0.001,"[−1.442, −0.531]",0.020
During sham,−0.653,0.426,−2.860,0.016,"[−0.959, −0.0506]",0.019
After sham,−0.551,0.303,−2.187,0.051,"[−0.990, −0.272]",0.013
Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus,Right precuneus
During active,−0.837,0.700,−5.070,< 0.001,"[−1.217, −0.515]",0.002
After active,−0.512,0.262,−1.978,0.073,"[−1.539, 0.244]",0.306
During sham,−0.846,0.715,−5.253,< 0.001,"[−1.104, −0.565]",0.001
After sham,−0.520,0.271,−2.020,0.068,"[−0.860, −0.208]",0.008
"Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus","Right/Left precuneus, right lingual gyrus"
During active,−0.922,0.850,−7.888,< 0.001,"[−1.381, −0.827]",0.001
After active,−0.871,0.758,−5.878,< 0.001,"[−1.270, −0.559]",0.002
During sham,−0.750,0.563,−3.765,0.003,"[−1.282, −0.293]",0.001
After sham,−0.332,0.110,−1.166,0.268,"[−1.193, 0.670]",0.132
Left orbitofrontal cortex,Left orbitofrontal cortex,Left orbitofrontal cortex,Left orbitofrontal cortex,Left orbitofrontal cortex,Left orbitofrontal cortex,Left orbitofrontal cortex
During active,−0.774,0.599,−4.050,0.002,"[−1.085, −0.427]",0.006
After active,−0.844,0.712,−5.217,< 0.001,"[−1.725, −0.851]",0.001
During sham,−0.799,0.638,−4.401,0.001,"[−1.385, −0.248]",0.002
After sham,−0.526,0.276,−2.050,0.065,"[−1.789, 0.789]",0.256
