Unnamed: 0,Region,N of voxels,Z,x,y,z
Cerebellar network,Cerebellar network,Cerebellar network,Cerebellar network,Cerebellar network,Cerebellar network,Cerebellar network
FixD<HC,L crus I/lobule VI,70,3.10,−26,−66,−32
FixD<MobD,L vermis X,61,3.17,−1,−45,−32
FixD<MobD,R vermis IX,3,3.46,14,−46,−48
