Seed,"X,Y,Z",Region,Size,p-FDR
Salience Network Anterior Insula Right,"−14, −54, 46","Lateral Occipital Cortex, superior division Left",177,0.000702
,"28, −70, 24","Lateral Occipital Cortex, superior division Right",125,0.003455
,"20, −52, 48",Putamen Right,76,0.024059
