Variable,Scanning session,Age,Scanning session × age interaction
Node strength,"F(2,29) = 1.06, p = 0.36","F(1,29) = 0.52, p = 0.47","F(2,29) = 0.21, p = 0.81"
Node degree,"F(2,29) = 0.50, p = 0.61","F(1,29) = 2.00, p = 0.17","F(2,29) = 0.50, p = 0.61"
Path length,"F(2,29) = 0.86, p = 0.44","F(1,29) = 0.59, p = 0.45","F(2,29) = 0.10, p = 0.90"
Clustering coefficient,"F(2,29) = 0.54, p = 0.59","F(1,29) = 0.11, p = 0.73","F(2,29) = 0.41, p = 0.67"
