Unnamed: 0,Mean ± (SD),Range,N (%)
Age,24 (2.3),21–28,
Caucasian,–,–,24 (100%)
Education,15.8 (1.4),12–19,
% with at least one first degree relative w/AUD,,,7 (29%)
Drinks per week???,14.9 (9.9),2–33,
Drinks per drinking day???,4.9 (3.0),1–10,
"Heavy drinking days per week???, ???",1.6 (1.4),0–6,
AUDIT???,10.2 (6.3),3–26,
