Unnamed: 0,Beer fw=B(t),Gatorade fw=G(t),Subject-specific giw
dFCM,β0+β1t+∑k=1Kukzk(t),β0+γ0+(β1+γ1)t+∑k=1Kukzk(t)+∑k=1Kwkzk(t),bi0+ais0
sFCM,β0,β0+γ0,bi0+ais0
