Unnamed: 0_level_0,Correlation (adjusted p-value),Correlation (adjusted p-value),Correlation (adjusted p-value),Correlation (adjusted p-value),Correlation (adjusted p-value),Correlation (adjusted p-value)
Unnamed: 0_level_1,Morning session,Morning session,Morning session,Evening session,Evening session,Evening session
Unnamed: 0_level_2,AM,ESS,ME,AM,ESS,ME
Small-worldness,−0.44 (0.0003),—,—,—,—,—
Path length,—,0.30 (0.0183),—,0.28 (0.0224),—,—
Modularity,−0.46 (0.0002),—,—,—,—,—
Assortativity,—,0.29 (0.0230),—,0.29 (0.0225),—,—
