Variables (mean ± SD),MT (n = 31),ET (n = 31),Significance
Actigraphy-derived wake-up time (hh:mm)???,7:43 ± 70 min,8:16 ± 69 min,t(60) = −1.28; p = 0.168
Actigraphy-derived bedtime (hh:mm)???,23:58 ± 58 min,0:48 ± 58 min,t(60) = −3.13; p = 0.002
Actigraphy-derived length of real sleep (hh:mm)???,7:53.83 ± 51 min,7:36 ± 40 min,t(60) = −1.18; p = 0.266
