Brain region (AAL),Cluster size (voxels),"Peak MNI coordinate (x, y, z)",T value
Occipital_Mid_L,"1,226","−36, −78, 36",6.48
Temporal_Mid_R,115,"57, −51, 9",5.72
Angular_R,115,"48, −66, 30",5.51
