Unnamed: 0,ADHD (n = 30) M (SD),TD (n = 33) M (SD),t-value,P
Reaction time (ms),641.54 (146.79),584.81 (145.82),1.537,0.835
Hit number,44.87 (5.12),47.82 (2.36),−2.983,0.0
Omission number,5.13 (5.12),2.18 (2.36),2.983,0.0
Commission number,4.03 (6.56),2.00 (2.85),1.621,0.002
