Brain Regions,Voxels (mm3),Brodmann’s Area,Talairach Coordinates,Talairach Coordinates,Talairach Coordinates,Z Score
Brain Regions,Voxels (mm3),Brodmann’s Area,x,y,z,Z Score
Left middle frontal gyrus,835,–,−27,−21,51,4.1
Right middle frontal gyrus,755,48,45,−3,6,4.38
Right superior temporal gyrus,256,–,45,−24,−6,3.97
Left parahippocampal gyrus,513,28,−15,−3,−18,3.32
