Unnamed: 0,RA,SA,t value,p-value
ΔFC of insula,−0.01 ± 0.20,−0.10 ± 0.15,1.87,0.067
ΔFC of SMG,0.01 ± 0.21,−0.11 ± 0.21,2.15,0.037*
