Group,Unnamed: 1_level_0,Morris Water Maze,Morris Water Maze,Open Field Test
Group,Unnamed: 1_level_1,Q5 in zone frequency,Q5 in zone time,Num of grids
,ANOVA,,,
E vs. FE vs. H vs.T,F,1.166,2.604,1.912
E vs. FE vs. H vs.T,p,0.339,0.07,0.149
,T-test,,,
E vs. FE,t,-1.667,-2.116,-2.032
E vs. FE,p,0.114,0.049,0.065
E vs. H,t,-1.77,-2.43,-2.042
E vs. H,p,0.098,0.029,0.06
E vs. T,t,-1.154,-0.862,-1.741
E vs. T,p,0.264,0.401,0.1
T vs. H,t,-0.689,-1.73,-0.648
T vs. H,p,0.503,0.107,0.528
