Group,(seed name)FC regions,Cluster size,T value,P value,Paxinos coordinate(mm),Paxinos coordinate(mm),Paxinos coordinate(mm)
Group,(seed name)FC regions,Cluster size,T value,P value,X,Y,Z
E vs. FE,(S1J/M1),,,,,,
E vs. FE,AOD,51.0,4.94,0.219,2.0,5.0,4.0
E vs. FE,M2,61.0,5.33,0.181,-4.0,2.0,4.0
E vs. FE,GI,57.0,4.66,0.195,1.0,2.0,6.0
E vs. FE,S1HL,107.0,4.56,0.083,-2.0,1.0,-1.0
E vs. H,(M2/PrL),,,,,,
E vs. H,DLO,115.0,6.89,0.054,-3.0,4.0,5.0
E vs. T,(M1),,,,,,
E vs. T,CPu,72.0,6.91,0.572,4.0,4.0,-2.0
T vs. H,(Or/cg),,,,,,
T vs. H,Crus1,360.0,16.77,0.081,-5.0,4.0,-11.0
