Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0
ROI,Target cluster,x,y,z,T value,Cluster size,Uncorr cluster size p
L insular cortex,L posterior cingulate (PCC)/precuneus,−4,−46,2,15.73,125,9e-08
L insular cortex,L primary motor cortex (M1),−36,−16,68,14.8,96,1e-06
L insular cortex,R cerebellum lobule 7b,36,−70,−50,9.67,81,4e-06
L insular cortex,L parahippocampal gyrus (PHG),−18,−12,−26,10.7,73,9e-06
L insular cortex,L lateral occipital cortex (LOC),−32,−80,50,9.54,53,8.3e-05
L insular cortex,L inferior temporal gyrus (ITG),−54,−18,−24,7.21,47,0.000171
