Brain regions,BA,Volume (mm3),"MNI coordinates (x, y, z)","MNI coordinates (x, y, z).1","MNI coordinates (x, y, z).2",T-score,Cohen’s d
Right SMG,40,3321,51,–30,27,–3.81,–0.96
Right SPG,7,3105,18,–63,51,–3.65,–0.92
