pmcid,file_name,line
6156348,documents_00001.jsonl,820
9280356,documents_00001.jsonl,1583
10258540,documents_00001.jsonl,703
7428473,documents_00001.jsonl,634
9201405,documents_00001.jsonl,408
6554427,documents_00001.jsonl,1479
8579817,documents_00001.jsonl,1542
9303922,documents_00001.jsonl,1424
7947794,documents_00001.jsonl,184
6355868,documents_00001.jsonl,193
10028646,documents_00001.jsonl,714
10043334,documents_00001.jsonl,1393
9259934,documents_00001.jsonl,1053
7821576,documents_00001.jsonl,1019
6551557,documents_00001.jsonl,1122
8481307,documents_00001.jsonl,34
7124138,documents_00001.jsonl,156
6938298,documents_00001.jsonl,1494
8405782,documents_00001.jsonl,600
9612546,documents_00001.jsonl,856
7506052,documents_00001.jsonl,349
10107737,documents_00001.jsonl,1415
8564498,documents_00001.jsonl,257
6738198,documents_00001.jsonl,649
10322831,documents_00001.jsonl,447
8930816,documents_00001.jsonl,632
6881455,documents_00001.jsonl,13
6214880,documents_00001.jsonl,1611
7099000,documents_00001.jsonl,1066
8884259,documents_00001.jsonl,1191
10338806,documents_00001.jsonl,914
7573129,documents_00001.jsonl,182
8829345,documents_00001.jsonl,273
9556524,documents_00001.jsonl,332
6971220,documents_00001.jsonl,396
6427927,documents_00001.jsonl,456
7468386,documents_00001.jsonl,668
6733873,documents_00001.jsonl,1279
6726738,documents_00001.jsonl,239
8901599,documents_00001.jsonl,1198
6283978,documents_00001.jsonl,952
9247427,documents_00001.jsonl,775
9908753,documents_00001.jsonl,382
6563769,documents_00001.jsonl,381
10086048,documents_00001.jsonl,284
8927720,documents_00001.jsonl,168
9860458,documents_00001.jsonl,20
6292003,documents_00001.jsonl,220
6284571,documents_00001.jsonl,1319
9421505,documents_00001.jsonl,1553
8964485,documents_00001.jsonl,513
7334452,documents_00001.jsonl,598
10338794,documents_00001.jsonl,1507
8248670,documents_00001.jsonl,1414
6311777,documents_00001.jsonl,1062
9194954,documents_00001.jsonl,941
6799426,documents_00001.jsonl,108
7029189,documents_00001.jsonl,818
6386753,documents_00001.jsonl,1073
10098449,documents_00001.jsonl,160
6423170,documents_00001.jsonl,1346
6294404,documents_00001.jsonl,115
10376072,documents_00001.jsonl,417
8376297,documents_00001.jsonl,228
8286923,documents_00001.jsonl,1460
6367662,documents_00001.jsonl,1176
10028675,documents_00001.jsonl,293
7234178,documents_00001.jsonl,1164
9574049,documents_00001.jsonl,319
8673709,documents_00001.jsonl,996
8531403,documents_00001.jsonl,60
6411780,documents_00001.jsonl,1028
6638931,documents_00001.jsonl,1642
7994700,documents_00001.jsonl,375
9477102,documents_00001.jsonl,74
10342283,documents_00001.jsonl,118
8203778,documents_00001.jsonl,388
10377532,documents_00001.jsonl,324
7028250,documents_00001.jsonl,1487
8639725,documents_00001.jsonl,837
9606579,documents_00001.jsonl,571
6462306,documents_00001.jsonl,873
9596968,documents_00001.jsonl,1353
7576607,documents_00001.jsonl,842
6664052,documents_00001.jsonl,919
7234595,documents_00001.jsonl,942
7937726,documents_00001.jsonl,663
7527900,documents_00001.jsonl,1605
10318304,documents_00001.jsonl,1060
9856696,documents_00001.jsonl,1442
9528018,documents_00001.jsonl,992
7750450,documents_00001.jsonl,1227
8569140,documents_00001.jsonl,1653
9599902,documents_00001.jsonl,292
9890459,documents_00001.jsonl,150
8761802,documents_00001.jsonl,1509
8746122,documents_00001.jsonl,1350
7935045,documents_00001.jsonl,623
9174614,documents_00001.jsonl,1633
7522851,documents_00001.jsonl,578
6529928,documents_00001.jsonl,755
9356738,documents_00001.jsonl,1289
8013735,documents_00001.jsonl,1426
6189368,documents_00001.jsonl,1051
6872722,documents_00001.jsonl,216
7234455,documents_00001.jsonl,945
10196126,documents_00001.jsonl,1281
6345858,documents_00001.jsonl,1269
9851773,documents_00001.jsonl,886
7608204,documents_00001.jsonl,451
9626831,documents_00001.jsonl,486
8752965,documents_00001.jsonl,531
8528511,documents_00001.jsonl,728
10332048,documents_00001.jsonl,1032
10400792,documents_00001.jsonl,934
6955819,documents_00001.jsonl,1645
8725707,documents_00001.jsonl,105
7814752,documents_00001.jsonl,1029
7381697,documents_00001.jsonl,125
7758505,documents_00001.jsonl,815
9836043,documents_00001.jsonl,374
8867086,documents_00001.jsonl,1065
8929635,documents_00001.jsonl,277
9237212,documents_00001.jsonl,1504
9132756,documents_00001.jsonl,269
9715556,documents_00001.jsonl,1402
7264165,documents_00001.jsonl,1007
7768655,documents_00001.jsonl,186
9893792,documents_00001.jsonl,1457
8967369,documents_00001.jsonl,1500
9012114,documents_00001.jsonl,988
8388266,documents_00001.jsonl,637
6586888,documents_00001.jsonl,549
8248357,documents_00001.jsonl,169
7941220,documents_00001.jsonl,584
6057306,documents_00001.jsonl,45
9051506,documents_00001.jsonl,1385
8598242,documents_00001.jsonl,776
6197617,documents_00001.jsonl,209
7461924,documents_00001.jsonl,1363
7708866,documents_00001.jsonl,1109
6337053,documents_00001.jsonl,103
7325959,documents_00001.jsonl,70
7514501,documents_00001.jsonl,833
7695184,documents_00001.jsonl,538
9030143,documents_00001.jsonl,1459
7517519,documents_00001.jsonl,345
8890030,documents_00001.jsonl,903
8896990,documents_00001.jsonl,1161
9915604,documents_00001.jsonl,254
7177188,documents_00001.jsonl,1200
9668669,documents_00001.jsonl,1163
8344374,documents_00001.jsonl,1239
7786961,documents_00001.jsonl,550
6614333,documents_00001.jsonl,1408
6197719,documents_00001.jsonl,1082
9509199,documents_00001.jsonl,881
9295451,documents_00001.jsonl,898
8463344,documents_00001.jsonl,249
7013190,documents_00001.jsonl,773
7334502,documents_00001.jsonl,390
7316159,documents_00001.jsonl,1103
8517525,documents_00001.jsonl,797
9150138,documents_00001.jsonl,31
6761222,documents_00001.jsonl,501
8202596,documents_00001.jsonl,771
9189081,documents_00001.jsonl,1432
7049413,documents_00001.jsonl,533
8571566,documents_00001.jsonl,77
8886646,documents_00001.jsonl,1533
8635006,documents_00001.jsonl,1052
8894349,documents_00001.jsonl,947
7575292,documents_00001.jsonl,1547
8707613,documents_00001.jsonl,0
8582327,documents_00001.jsonl,758
7238847,documents_00001.jsonl,1551
8303126,documents_00001.jsonl,874
7336143,documents_00001.jsonl,1135
6308204,documents_00001.jsonl,1
8080341,documents_00001.jsonl,237
6990753,documents_00001.jsonl,304
7004964,documents_00001.jsonl,71
8167968,documents_00001.jsonl,887
7710811,documents_00001.jsonl,789
7785814,documents_00001.jsonl,630
7810059,documents_00001.jsonl,1215
8504518,documents_00001.jsonl,910
9627365,documents_00001.jsonl,260
6269132,documents_00001.jsonl,540
9668651,documents_00001.jsonl,110
7346398,documents_00001.jsonl,916
7937930,documents_00001.jsonl,1003
6200854,documents_00001.jsonl,154
9346127,documents_00001.jsonl,672
6332472,documents_00001.jsonl,565
8248345,documents_00001.jsonl,1243
9627982,documents_00001.jsonl,1294
10214160,documents_00001.jsonl,1154
8885759,documents_00001.jsonl,1386
9299814,documents_00001.jsonl,418
10267115,documents_00001.jsonl,838
9981972,documents_00001.jsonl,190
6685940,documents_00001.jsonl,303
7658317,documents_00001.jsonl,850
7031356,documents_00001.jsonl,278
9495306,documents_00001.jsonl,1226
6132917,documents_00001.jsonl,342
6676772,documents_00001.jsonl,645
9187646,documents_00001.jsonl,896
7736993,documents_00001.jsonl,1313
9475213,documents_00001.jsonl,1618
10230054,documents_00001.jsonl,1166
9204483,documents_00001.jsonl,721
7991789,documents_00001.jsonl,1517
9037891,documents_00001.jsonl,640
8011682,documents_00001.jsonl,128
6969065,documents_00001.jsonl,520
7485713,documents_00001.jsonl,977
8247769,documents_00001.jsonl,1619
7440189,documents_00001.jsonl,444
10375049,documents_00001.jsonl,762
6372554,documents_00001.jsonl,17
8051821,documents_00001.jsonl,266
6895037,documents_00001.jsonl,1425
8097883,documents_00001.jsonl,939
9471806,documents_00001.jsonl,701
7380082,documents_00001.jsonl,1013
9219664,documents_00001.jsonl,980
9280354,documents_00001.jsonl,859
9435016,documents_00001.jsonl,1428
9614268,documents_00001.jsonl,1496
7901489,documents_00001.jsonl,713
6579875,documents_00001.jsonl,463
6482335,documents_00001.jsonl,894
