Network of interest,Total number of seeds,Total number of voxels (4mm isotropic),% of voxels with differences in CBF0
Dorsal attention network (DAN),9,1559,34.8
Default mode network (DMN),9,1600,4.8
Fronto-parietal network (FPN),11,2274,39.2
Somatomotor network (SMN),4,2019,34.1
Ventral attention network (VAN),6,647,4.1
Vision network (VN),2,1729,0.0
