Object hit and avoid parameters,Healthy,mTBI,P value???
Distractor hits total,6.6 ± 8.5,7.3 ± 5.8,0.754
Hand bias hits (range: [-1 - 1]),0.1 ± 0.1,0.1 ± 0.1,0.448
Median error (%),74.1 ± 7.0,73.2 ± 6.3,0.641
Object processing rate (objects/second),2.7 ± 0.3,2.7 ± 0.2,0.725
Target hits total,172.4 ± 12.6,171.4 ± 7.3,0.777
