ROI,CSIP,CSIP,CSIP,CSIN,CSIN,CSIN,CSI,CSI,CSI
Unnamed: 0_level_1,β × 103,r,p,β × 103,r,p,β × 103,r,p
Precuneus,4.93,0.283,<0.01,3.17,0.175,0.07,9.50,0.459,<0.01
MFG,–11.46,–0.441,<0.01,3.77,0.136,0.11,–9.72,–0.389,<0.01
R-IPL,0.73,0.031,0.61,8.03,0.299,<0.01,9.57,0.354,<0.01
