Model,Effect,df,F,p,ηp2
Omnibus,Interaction+,"1.55,41.85",6.71,0.006,0.199
Omnibus,Task*hemisphere+,"1.35,36.4",5.07,0.021,0.158
Omnibus,Task*network,"2,54",1.42,0.25,0.05
Omnibus,Hemisphere*network,"1,27",6.81,0.015,0.201
Omnibus,Hemisphere,"1,27",37.9,< 0.0001,0.584
Omnibus,Network,"1,27",9.59,0.005,0.262
Omnibus,Task,"2,54",0.26,0.77,0.89
Control-B,Interaction+,"1.33,36.07",7.72,0.005,0.222
Control-B,Hemisphere,"1,27",27.23,< 0.0001,0.502
Control-B,Task,"2,54",0.16,0.851,0.006
DAN-B,Interaction+,"1.62,43.62",0.21,0.768,0.008
DAN-B,Hemisphere,"1,27",18.49,< 0.0001,0.406
DAN-B,Task,"2,54",2.25,0.116,0.077
