Method,ACC (%),SEN (%),SPE (%),AUC (%)
Static FC,68.6,77.19,60.94,74.42
Time variability,71.9,68.42,75.0,75.27
High-order features,73.55,75.44,71.88,78.84
Time variability + high-order features,81.82,82.46,81.25,89.26
