Unnamed: 0,SZ,HC,P-value
Numbers,57,64,
Gender (male/female),48/9,45/19,0.072
Ages,36.684 ± 13.620,35.313 ± 11.804,0.554
Handedness (L/R/both),8/48/1,1/62/1,0.022
