Unnamed: 0_level_0,Hemisphere,Regions,MNI,MNI,MNI,F/T,Voxels
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1,Unnamed: 7_level_1
Time effect*,R,PCUN,6,−57,36,15.84,37
,L,PCUN,0,−63,21,15.62,35
rTMS intervention group>rTMS baseline group#,R,PCUN,3,−57,39,5.299,27
,L,PCUN,0,−60,21,5.02,30
