Brain area,Voxel value,t value
Para hippocampus,33,3.976
Inferior temporal gyrus,51,3.594
Talar gyrus,125,-3.595
Apical leaflet,65,-2.746
Apical leaflet,47,-2.95
Central front back,90,-3.422
Central back,49,-4.356
