Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,2.92,2.56,13,2.87,3.61,25,4.55,2.55
2,4.89,3.07,14,5.03,3.34,26,2.42,2.6
3,5.3,3.13,15,5.15,3.66,27,4.26,2.69
4,3.5,3.28,16,3.12,3.51,28,4.06,3.34
5,4.91,3.0,17,2.75,2.37,29,3.43,3.19
6,3.34,3.26,18,3.34,3.08,30,5.01,3.14
7,2.37,3.63,19,4.22,3.35,31,4.44,3.39
8,5.08,2.62,20,4.73,3.1,32,3.6,2.99
9,2.96,2.51,21,4.46,3.62,33,4.53,2.82
10,5.1,2.79,22,3.03,2.48,34,3.42,2.37
11,4.77,3.44,23,4.38,2.82,35,4.14,3.19
12,3.02,2.71,24,3.9,2.61,36,3.67,2.67
