Regions,BA,MNI Coordinates,Peak t-score,Cluster size (mm3),Unnamed: 5,Unnamed: 6
,,X,Y,Z,,
Medial FG/ACC/OFG/IFG,"10, 11, 25, 32, 47",18,30,−15,−4.3899,"4,266"
