Unnamed: 0,Bonferroni,FDR,PC,T0,Tl,Tldq
Non‐localized,0.06,0.065,0.089,0.618,1.0,0.87
Localized,0.938,0.953,0.994,0.62,1.0,0.862
No‐stimulation,0.048,0.051,0.082,0.06,0.056,0.053
